lead_time,order_volume,weather_index,supplier_reliability,disruption_status
16.5,3531,0.29,0.8,0
13.3,6628,0.5,0.03,1
17.2,4251,0.46,0.7,0
21.6,4313,0.34,0.02,1
12.8,7520,0.69,0.86,0
12.8,9089,0.76,0.16,1
21.9,879,0.85,0.51,1
17.8,2992,0.97,0.6,1
11.7,5634,0.27,0.46,1
16.7,3406,0.72,0.34,1
11.7,3002,0.39,0.47,1
11.7,3818,0.68,0.31,1
15.2,121,0.48,0.44,1
4.4,1600,0.99,0.36,1
5.4,9134,0.73,0.57,1
11.2,3741,0.95,0.24,1
8.9,5312,0.83,0.99,0
15.6,291,0.9,0.5,0
9.5,8687,0.81,0.19,1
6.9,7274,0.46,0.48,1
21.3,5214,0.25,0.87,0
12.9,4762,0.37,0.02,1
14.3,4426,0.02,0.68,0
6.9,9165,0.52,0.55,0
11.3,4435,0.51,0.17,1
14.6,8381,0.53,0.82,0
8.2,8748,0.97,0.37,1
15.9,9296,0.91,0.29,1
11.0,5594,0.16,0.83,0
12.5,8636,0.37,0.64,0
11.0,2811,0.42,0.9,0
23.3,7695,0.36,0.63,1
13.9,6373,0.8,0.74,0
8.7,6384,0.52,0.84,0
18.1,9408,0.57,0.05,1
7.9,8917,0.85,0.78,1
15.0,4094,0.81,0.61,1
4.2,1778,0.13,0.07,1
7.4,8514,0.71,0.51,1
15.0,843,0.44,0.08,1
17.7,562,0.29,0.74,0
14.9,1668,0.05,0.55,0
13.4,1836,0.49,0.95,0
12.5,8003,0.36,0.18,1
6.6,7102,0.25,0.61,0
10.4,8956,0.69,0.21,1
11.7,1456,0.77,0.61,0
19.3,1114,0.24,0.72,0
15.7,1154,0.05,0.72,0
5.2,1864,0.85,0.82,0
15.6,6109,0.01,0.85,0
12.1,4558,0.94,0.08,1
10.6,9704,0.63,0.34,1
17.1,767,0.32,0.69,0
19.2,3470,0.25,0.5,0
18.7,6076,0.01,0.19,1
9.8,1494,0.24,0.55,0
12.5,8390,0.14,0.41,0
15.7,4170,0.61,0.39,1
18.9,7082,0.17,0.81,0
11.6,8713,0.53,0.41,0
13.1,5699,0.59,0.03,1
8.5,3750,0.3,0.06,1
8.0,9424,0.04,0.86,0
18.1,9994,0.04,0.96,0
20.8,3720,0.03,0.69,0
13.6,3290,0.74,0.36,1
19.0,8889,0.32,0.94,0
15.8,491,0.8,0.66,1
10.8,1175,0.43,0.84,0
15.8,2750,0.45,0.77,0
21.7,2484,0.51,0.38,1
13.8,909,0.71,0.48,1
21.8,8147,0.27,0.19,1
0.9,5601,0.12,0.29,1
18.1,6995,0.56,0.78,0
14.4,1259,0.33,0.89,0
12.5,7674,0.44,0.72,0
14.5,1631,0.65,0.47,1
4.1,5581,0.49,0.09,1
12.9,7648,0.62,0.06,1
15.8,5076,0.54,0.37,1
21.4,5795,0.74,0.46,1
11.4,8545,0.71,0.61,1
10.0,3648,0.53,0.01,1
11.5,6263,0.68,0.99,0
18.6,6771,0.87,0.36,1
15.6,5364,0.43,0.85,1
11.4,1331,0.41,0.53,0
16.6,2523,0.76,0.13,1
14.5,8171,0.58,0.8,0
18.8,4361,0.07,0.71,0
10.5,9865,0.89,0.53,1
12.4,3008,0.03,0.51,0
12.0,4812,0.75,0.09,1
6.7,6855,0.76,0.66,1
15.5,9917,0.95,0.91,1
15.3,3983,0.05,0.09,1
14.0,3615,0.6,0.26,1
12.8,3503,0.43,0.9,0
6.9,4698,0.33,0.28,0
11.9,5108,0.09,0.65,0
12.3,6322,0.56,0.53,0
10.0,4109,0.48,0.6,0
13.2,2835,0.1,0.42,0
16.0,4591,0.61,0.3,1
23.4,8693,0.74,0.05,1
14.9,1074,0.77,0.74,1
15.3,323,0.91,0.75,1
13.6,4713,0.41,0.67,0
4.4,6877,0.95,0.64,1
13.9,8527,0.87,0.24,1
14.3,4311,0.3,0.02,1
26.3,325,0.16,0.81,0
13.0,8283,0.44,0.49,0
15.5,4377,0.4,0.31,1
13.8,1441,0.58,0.1,1
8.2,4136,0.58,0.06,1
19.7,8501,0.75,0.35,1
17.8,3827,0.51,0.8,0
18.0,4028,0.1,0.92,0
9.5,2903,0.86,0.9,1
21.0,9401,0.31,0.92,0
7.0,6658,0.97,0.91,0
16.9,493,0.12,0.53,1
25.0,6939,0.96,0.22,1
9.0,9135,0.09,0.8,0
11.2,9816,0.23,0.21,0
14.5,8895,0.05,0.27,0
11.5,681,0.71,0.23,1
6.2,232,0.85,0.51,1
14.3,2938,0.43,0.32,0
8.7,3485,0.93,0.15,1
16.4,3870,0.59,0.45,1
9.4,2368,0.63,0.87,0
21.7,1075,0.85,0.57,0
10.1,7705,0.3,0.88,0
12.4,7313,0.35,0.2,1
18.1,9835,0.91,0.17,1
7.8,2935,0.9,0.58,1
15.1,2838,0.98,0.46,1
20.5,9649,0.9,0.66,0
6.0,4234,0.13,0.79,0
14.9,9608,0.82,0.75,0
15.3,6933,0.41,0.94,0
17.9,8453,0.99,0.4,1
7.8,2009,0.47,0.21,1
7.4,9419,0.55,0.55,0
16.6,9950,0.53,0.11,1
15.5,2063,0.32,0.29,1
15.3,5253,0.08,0.21,1
15.7,1066,0.9,0.4,1
10.6,989,0.8,0.11,1
15.2,3161,0.14,0.03,1
15.5,6561,0.78,0.66,1
10.4,6266,0.63,0.61,1
23.3,7067,0.41,0.71,0
16.4,9958,0.25,0.66,0
8.0,8201,0.86,0.11,1
17.3,7479,0.7,0.29,1
9.1,9733,0.55,0.13,1
17.9,7380,0.61,0.84,0
19.8,1167,0.09,0.75,0
9.9,4323,0.47,0.2,1
18.8,9118,0.19,0.34,0
16.1,4707,0.21,0.97,0
18.1,4085,0.66,0.59,1
23.5,3279,0.91,0.8,1
12.8,4638,0.4,0.26,1
10.2,2462,0.21,0.21,0
9.6,2324,0.65,0.78,0
9.9,6471,0.87,0.69,0
13.6,1826,0.75,0.68,1
15.7,5891,0.87,0.55,1
15.4,8173,0.54,0.56,0
18.1,8558,0.75,0.74,0
14.1,7113,0.14,0.27,0
21.3,937,0.35,0.35,1
12.7,4684,0.39,0.87,0
27.6,786,0.51,0.31,1
17.1,456,0.93,0.55,1
9.7,9163,0.87,0.7,0
8.6,4747,0.13,1.0,0
16.4,4518,0.17,0.44,0
12.9,6742,0.36,0.43,0
17.6,3491,0.29,0.84,0
16.4,4457,0.61,0.81,0
13.6,4979,0.9,0.73,0
9.8,5419,0.96,0.46,1
6.4,2839,0.65,0.32,1
11.8,9610,0.84,0.61,1
18.3,9827,0.53,0.88,0
15.1,4884,0.21,0.88,0
7.8,977,0.52,0.11,1
14.9,2970,0.56,0.43,1
15.9,392,0.74,0.46,0
9.6,9943,0.22,0.98,0
14.8,8828,0.37,0.68,0
14.3,2786,0.36,0.41,1
8.3,333,0.96,0.03,1
15.8,2474,0.44,0.57,0
16.8,2372,0.76,0.1,1
19.4,1066,0.75,0.83,0
19.3,989,0.27,0.75,0
7.1,3963,0.57,0.46,1
9.3,6254,0.89,0.43,1
16.6,3500,0.48,0.9,0
16.6,8326,0.95,0.29,1
16.6,4642,0.21,0.25,1
33.3,3623,0.07,0.94,0
16.9,1863,0.89,0.81,1
19.7,3391,0.85,0.82,0
18.8,2588,0.99,0.2,1
17.3,1658,0.68,0.14,1
12.4,4790,0.94,0.03,1
17.8,6221,0.83,0.24,1
10.1,2376,0.84,0.77,0
12.8,4539,0.57,0.24,1
11.6,1203,0.38,0.73,0
14.4,7620,0.93,0.25,1
25.6,9711,0.43,0.4,1
4.7,5509,0.54,0.98,0
17.4,9770,0.45,0.24,1
5.9,7969,0.56,0.38,1
11.6,3056,0.47,0.3,1
19.4,7810,0.05,0.11,1
14.3,6117,0.88,0.49,1
8.6,9674,0.44,0.38,1
10.4,3484,0.59,0.69,0
17.4,9861,0.14,0.82,0
10.3,128,0.0,0.54,0
15.1,8997,0.25,0.03,1
14.2,9312,0.7,0.62,1
10.7,9738,0.1,0.06,1
24.7,7856,0.91,0.62,0
17.2,7048,0.22,0.69,0
3.9,5855,0.2,0.2,1
14.9,3702,0.18,0.82,0
10.7,5162,0.01,0.91,0
18.3,8171,0.77,0.81,0
10.0,7344,0.88,0.31,1
13.4,6472,0.61,0.59,0
16.5,7205,0.19,0.91,0
18.3,3681,0.29,0.32,1
8.0,2862,0.48,0.82,0
12.3,672,0.95,0.01,1
11.6,7805,0.25,0.0,1
10.7,714,0.73,0.76,0
22.8,4150,0.44,0.76,0
16.0,425,0.3,0.79,0
7.7,3840,0.46,0.93,0
18.6,458,0.07,0.12,0
24.6,3877,0.8,0.23,1
19.2,6006,0.24,0.9,0
6.4,1821,0.73,0.18,1
11.6,1449,0.07,0.68,0
20.3,3796,0.96,0.53,1
10.5,3996,0.19,0.08,1
16.2,4360,0.88,0.29,1
17.9,9888,0.81,0.52,1
9.4,9919,0.97,0.85,1
13.7,7041,0.48,0.71,0
-2.2,3908,0.73,0.62,0
8.9,5346,0.37,0.5,0
12.7,8484,0.18,0.3,0
7.8,3945,0.44,0.12,1
22.2,2677,0.17,0.41,0
6.8,191,0.98,0.03,1
11.8,4334,0.1,0.21,0
14.7,8772,0.59,0.43,0
21.2,6692,0.63,0.42,1
6.8,8228,0.54,0.04,1
19.8,1175,0.66,0.59,1
14.1,2613,0.12,0.55,0
9.1,8268,0.56,0.08,1
16.3,6961,0.29,0.94,0
15.0,9090,0.94,0.1,1
11.0,704,0.76,0.85,0
14.3,3079,0.97,0.0,1
12.1,7240,0.04,0.88,0
14.6,7165,0.29,0.02,1
17.3,5016,0.2,0.76,0
21.9,6900,0.01,0.36,0
7.8,697,0.24,0.74,0
24.7,9824,0.68,0.4,1
4.2,7420,0.23,0.07,1
13.2,8805,0.51,0.77,0
16.9,5722,0.89,0.07,1
15.4,1977,0.69,0.92,0
10.9,1799,0.39,0.05,1
13.0,9321,0.37,0.48,0
11.5,5880,0.46,0.72,0
11.1,816,0.18,0.39,0
18.2,4186,0.63,0.22,1
15.8,765,0.36,0.76,0
10.5,7946,0.85,0.78,0
18.5,6711,0.76,0.92,1
15.5,1179,0.61,0.38,0
18.1,8519,0.36,0.51,0
17.1,8440,0.21,0.36,0
9.9,1169,0.78,0.26,1
11.2,5363,0.49,0.75,0
17.7,8051,0.22,0.34,0
17.1,1463,0.2,0.43,0
13.9,4608,0.17,0.4,0
14.6,1855,0.78,0.71,1
20.4,619,0.23,0.92,0
11.0,5563,0.53,0.67,1
16.7,7333,0.45,0.47,1
13.0,1202,0.58,0.78,0
12.9,697,0.88,0.64,1
19.5,3373,0.87,0.06,1
18.1,5881,0.45,0.1,1
18.1,6356,0.02,0.04,0
20.5,7358,0.43,0.46,1
14.1,8880,0.61,0.83,0
17.4,6654,0.56,0.31,1
12.4,9699,0.65,0.38,1
15.6,8102,0.15,0.91,0
13.3,4946,0.65,0.84,0
14.5,9921,0.18,0.67,0
17.0,9286,0.75,0.27,1
9.9,4898,0.34,0.12,1
24.5,6705,0.71,0.02,1
9.0,3086,0.05,0.11,0
7.9,500,0.41,0.29,1
19.8,2955,0.71,0.55,1
18.0,3512,0.23,0.06,1
17.1,156,0.8,0.14,1
17.1,8122,0.63,0.18,1
13.9,1975,0.59,0.63,1
9.5,4643,0.35,0.62,0
14.4,4398,0.48,0.55,0
10.6,3868,0.6,0.25,1
18.9,5852,0.47,0.37,1
13.3,4933,0.7,0.1,1
9.9,1453,0.43,0.23,1
12.4,5087,0.2,0.9,0
16.1,6697,0.21,0.98,0
11.2,4411,0.01,0.65,0
9.9,3034,0.3,0.92,0
15.2,122,0.75,0.64,0
15.2,1309,0.79,0.03,1
11.5,9040,0.2,1.0,0
11.6,904,0.96,0.1,1
15.2,8425,0.5,0.68,0
6.8,4516,0.92,0.25,1
7.0,8725,0.71,0.39,1
10.4,5241,0.72,0.65,0
12.9,5068,0.09,0.44,0
15.6,3771,0.22,0.25,1
21.4,7392,0.01,0.33,0
18.3,7101,0.72,0.34,1
13.2,2198,0.34,0.96,0
13.9,8544,0.79,0.8,1
9.0,5161,0.34,0.46,1
13.9,9421,0.82,0.2,1
12.6,3364,0.13,0.81,0
15.6,5535,0.17,0.16,0
9.9,8593,0.34,0.21,1
16.6,6791,0.41,0.37,1
21.7,2863,0.35,0.88,0
13.5,4105,0.76,0.13,1
16.0,3341,0.1,0.12,1
17.5,3157,0.35,0.49,0
12.0,650,0.84,0.28,1
15.1,5674,0.07,0.57,0
14.1,5511,0.94,0.45,1
14.5,1687,0.99,0.43,1
10.1,6020,0.09,0.11,0
14.1,5360,0.29,0.14,1
16.5,4509,0.37,0.82,0
21.3,5883,0.78,0.89,0
18.8,812,0.6,0.23,1
24.8,5506,0.64,0.11,1
10.2,8090,0.76,0.05,1
18.4,7520,0.12,0.61,0
14.9,6943,0.83,0.72,0
24.9,2533,0.71,0.37,1
10.0,3401,0.58,0.68,0
9.8,370,0.89,0.71,1
11.0,1179,0.7,0.94,0
3.4,5422,0.2,0.06,1
11.4,8895,0.43,0.19,1
10.2,5357,0.49,0.07,1
14.8,8082,0.06,0.87,0
15.7,9877,0.95,0.79,0
23.4,6314,0.13,0.57,0
18.8,5106,0.7,0.08,1
11.1,4085,0.51,0.27,1
9.5,9687,0.03,0.3,0
16.5,8891,0.92,0.56,1
7.4,8805,0.85,0.26,1
23.2,6091,0.52,0.07,1
19.9,6327,0.23,0.73,0
11.7,9358,0.12,0.3,0
5.4,7933,0.36,0.45,0
20.8,2986,0.26,0.13,1
13.4,2753,0.51,0.8,0
20.2,9380,0.97,0.57,1
6.0,4964,0.57,0.9,0
11.0,2614,0.89,0.5,1
14.0,4069,0.65,0.94,0
14.2,3384,0.48,0.89,0
11.7,7840,0.85,0.58,1
17.1,4666,0.47,0.93,0
8.7,2296,0.87,0.32,1
13.3,889,0.29,0.37,0
14.6,3575,0.13,0.05,1
16.6,9956,0.86,0.59,0
17.6,1409,0.59,0.72,0
8.4,964,0.89,0.77,0
6.3,5489,0.94,0.15,1
20.4,3463,0.05,0.44,0
15.7,8315,0.5,0.18,1
10.3,3103,0.37,0.66,0
21.8,8602,0.63,0.16,1
14.6,1331,0.79,0.9,1
19.9,8059,0.28,0.23,0
14.3,2811,0.56,0.29,1
24.3,6681,0.71,0.85,0
22.8,7805,0.13,0.46,0
12.8,521,0.81,0.02,1
18.9,1046,0.61,0.49,0
17.2,9478,0.95,0.08,1
20.8,1934,0.34,0.99,0
9.2,1664,0.11,0.59,0
17.4,7432,0.51,0.26,1
19.3,5044,0.09,0.56,0
5.2,1408,0.97,0.08,1
8.1,3086,0.04,0.8,0
3.8,486,0.75,0.93,0
12.7,6231,0.53,0.87,0
17.6,9453,0.37,0.34,1
21.5,3358,0.07,0.33,1
14.4,6221,0.62,0.04,1
22.1,4911,0.59,0.65,0
7.1,6674,0.28,0.53,0
5.5,6797,0.91,0.46,1
13.7,4033,0.3,0.91,0
15.9,1539,0.45,0.17,1
13.8,6269,0.54,0.01,1
3.7,4580,0.1,0.07,1
13.6,155,0.93,0.22,1
7.5,3424,0.37,0.03,1
17.3,6877,0.08,0.5,0
15.8,205,0.39,0.31,0
9.3,3301,0.6,0.18,1
11.4,769,0.51,0.75,0
8.7,9034,0.69,0.2,1
13.7,1066,0.06,0.69,0
18.8,407,0.28,0.35,1
9.1,2238,0.82,0.51,1
16.5,209,0.08,0.93,0
11.3,3732,0.86,0.04,1
10.0,6828,0.09,0.5,0
13.5,5784,0.83,0.85,1
8.8,6599,0.36,0.59,0
11.2,2015,0.61,0.28,1
8.0,656,0.15,0.4,0
23.8,7719,0.07,0.68,0
14.2,204,0.22,0.89,0
10.5,2147,0.13,0.04,1
15.1,245,0.31,0.07,1
13.4,973,0.51,0.33,1
12.9,398,0.59,0.23,1
17.1,3338,0.79,0.26,1
17.8,8937,0.66,0.22,1
11.3,6482,0.61,0.2,1
11.1,2611,0.41,0.13,0
12.6,6696,0.47,0.93,0
2.5,883,0.41,0.14,1
6.4,5092,0.84,0.2,1
20.8,470,0.23,0.25,1
22.2,586,0.01,0.93,0
12.8,7478,0.65,0.76,1
16.9,3296,0.2,0.79,0
15.6,9652,0.89,0.1,1
29.4,4387,0.86,0.84,0
19.6,2361,0.08,0.41,0
13.4,9248,0.11,0.26,1
9.2,8672,0.5,0.58,0
6.0,338,0.61,0.82,0
15.0,6943,0.27,0.78,0
10.2,1205,0.72,0.89,0
6.9,1486,0.59,0.93,0
10.8,9819,0.32,0.24,1
8.6,1767,0.03,0.42,0
22.4,2791,0.75,0.01,1
18.4,7856,0.21,0.88,0
14.0,2096,0.83,0.15,1
21.4,1525,0.42,0.86,0
14.4,8123,0.58,0.33,1
9.7,6949,0.87,0.37,1
21.6,3347,0.86,0.04,1
16.7,2692,0.37,0.33,1
8.8,1590,0.21,0.89,0
13.0,1324,0.78,0.03,1
9.6,2687,0.43,0.41,1
7.1,7814,0.19,0.03,0
18.6,3164,0.9,0.37,1
23.5,7904,0.2,0.17,1
7.0,932,0.03,0.25,0
16.8,2540,0.02,0.88,0
10.7,4895,0.62,0.44,1
11.6,1746,0.66,0.27,1
11.0,540,0.31,0.59,1
9.7,6056,0.32,0.14,1
14.2,9821,0.34,0.26,1
9.8,2467,0.68,0.55,0
15.4,6796,0.06,0.24,0
13.7,5290,0.93,0.68,1
12.8,4763,0.22,0.49,1
9.5,7162,1.0,0.77,1
11.1,4431,0.17,0.95,0
17.8,9596,0.77,0.12,1
16.5,3134,0.22,0.33,1
9.1,9477,0.08,0.32,0
14.5,3362,0.87,0.15,1
17.8,2207,0.86,0.81,0
5.7,7136,0.4,0.76,1
16.7,4420,0.7,0.48,1
10.7,6038,0.56,0.54,0
16.9,2847,0.85,0.06,1
10.2,4777,0.32,0.56,0
5.0,8072,0.52,0.79,0
5.9,4364,0.49,0.57,0
14.2,3233,0.35,0.27,0
15.3,1565,0.89,0.67,1
9.5,4209,0.17,0.36,1
17.2,2311,0.15,0.54,0
5.7,5639,0.58,0.49,0
13.7,9835,0.66,0.38,1
7.9,1789,0.19,0.72,0
10.7,9863,0.39,0.88,0
14.2,7827,0.95,0.01,1
9.7,7864,0.25,0.93,0
12.1,4641,0.67,0.51,0
19.0,3641,0.74,0.7,1
11.1,918,0.45,0.86,0
18.2,4621,0.94,0.47,1
8.4,1224,0.74,0.83,0
16.6,5760,0.46,0.18,1
21.2,5741,0.57,0.16,1
1.6,1229,0.69,0.66,0
10.0,1802,0.59,0.87,0
16.9,2101,0.88,0.89,0
13.0,7012,0.36,0.64,0
15.9,3978,0.3,0.53,0
11.0,7332,0.21,0.33,1
14.4,6431,0.04,0.98,0
13.2,6135,0.04,0.32,0
19.8,6623,0.87,0.74,1
15.3,8211,0.68,0.53,1
15.7,8836,0.66,0.61,0
11.9,2501,0.61,0.39,1
11.6,9581,0.85,0.96,0
11.8,9074,0.48,0.57,0
16.0,639,0.87,0.94,0
11.9,5715,0.36,0.01,1
15.4,3056,0.93,0.57,1
24.4,8177,0.7,0.72,0
18.4,3822,0.26,0.75,0
12.4,5187,0.56,0.9,0
20.0,6560,0.53,0.0,1
12.0,2270,0.14,0.0,1
3.8,3491,0.59,0.47,0
9.0,7042,0.31,0.03,1
4.6,1716,0.05,0.97,0
12.2,9208,0.95,0.22,1
14.1,6558,0.64,0.47,1
22.4,2856,0.88,0.06,1
15.6,6953,0.68,0.52,1
12.9,7809,0.36,0.38,1
18.1,2036,0.51,0.04,1
2.9,3191,0.68,0.34,1
15.2,1068,0.96,0.39,1
17.9,7397,0.25,0.99,0
6.6,3303,0.87,0.21,1
19.7,6599,0.92,0.54,1
15.7,5273,0.67,0.99,0
11.9,989,0.93,0.79,0
17.2,9084,0.4,0.99,0
25.4,9273,0.95,0.97,0
14.9,7482,0.7,0.49,1
15.2,3631,0.04,0.7,0
11.7,901,0.91,0.11,1
9.8,8334,0.48,0.44,1
18.2,3449,0.46,0.81,0
9.7,8105,0.57,0.51,1
14.4,3301,0.15,0.7,0
11.6,449,0.47,0.75,0
16.4,9859,0.83,0.25,1
15.7,9421,0.02,0.88,0
19.2,683,0.27,0.46,0
11.4,3477,0.0,0.21,0
12.7,6128,0.42,0.87,0
9.1,7794,0.73,0.42,1
11.8,6296,0.8,0.75,0
15.9,7183,0.95,0.55,1
17.8,3501,0.61,0.38,1
9.4,3285,0.25,0.81,0
